Source_country_cameo_code;Source_lat;Source_long;Targer_country_cameo_code;Target_lat;Target_long;Number_incidents
;;;;;;
"
IRN";32;53;LBN;33.8333;35.8333;2
;;;;;;
"
IRN";32;53;LBR;6.5;-9.5;0
;;;;;;
"
IRN";32;53;LBY;25;17;0
;;;;;;
"
IRN";32;53;LIE;47.1667;9.5333;0
;;;;;;
"
IRN";32;53;LTU;56;24;0
;;;;;;
"
IRN";32;53;LUX;49.75;6.1667;0
;;;;;;
"
IRN";32;53;LVA;57;25;0
;;;;;;
"
IRN";32;53;MDG;-20;47;0
;;;;;;
"
IRN";32;53;MDV;3.25;73;0
;;;;;;
"
IRN";32;53;MLT;35.8333;14.5833;0
;;;;;;
"
IRN";32;53;MTN;42;19;0
;;;;;;
"
IRN";32;53;MNG;46;105;0
;;;;;;
"
IRN";32;53;MOZ;-18.25;35;0
;;;;;;
"
IRN";32;53;MUS;-20.2833;57.55;0
;;;;;;
"
IRN";32;53;NAM;-22;17;0
;;;;;;
"
IRN";32;53;NCL;-21.5;165.5;0
;;;;;;
"
IRN";32;53;NIC;13;-85;0
;;;;;;
"
IRN";32;53;NLD;52.5;5.75;2
;;;;;;
"
IRN";32;53;OMN;21;57;2
;;;;;;
"
IRN";32;53;PAN;9;-80;0
;;;;;;
"
IRN";32;53;PHL;13;122;3
;;;;;;
"
IRN";32;53;PNG;-6;147;0
;;;;;;
"
IRN";32;53;PRY;-23;-58;0
;;;;;;
"
IRN";32;53;QAT;25.5;51.25;3
;;;;;;
"
IRN";32;53;RWA;-2;30;0
;;;;;;
"
IRN";32;53;SEN;14;-14;0
;;;;;;
"
IRN";32;53;SLV;13.8333;-88.9167;0
;;;;;;
"
IRN";32;53;SRB;44;21;0
;;;;;;
"
IRN";32;53;SVK;48.6667;19.5;0
;;;;;;
"
IRN";32;53;SVN;46;15;0
;;;;;;
"
IRN";32;53;TCD;15;19;1
;;;;;;
"
IRN";32;53;TTO;11;-61;0
;;;;;;
"
IRN";32;53;UGA;1;32;0
;;;;;;
"
IRN";32;53;UZB;41;64;0
;;;;;;
"
IRN";32;53;ZAF;-29;24;3
;;;;;;
"
IRN";32;53;ZMB;-15;30;0
;;;;;;
"
IRN";32;53;ZWE;-20;30;0
;;;;;;
"
IRN";32;53;KOR;37;127.5;0
;;;;;;
"
IRN";32;53;MMR;22;98;0
;;;;;;
"
IRN";32;53;NPL;28;84;0
;;;;;;
"
IRN";32;53;VNM;16;106;0
;;;;;;
"
IRN";32;53;MRT;20;-12;0
;;;;;;
"
IRN";32;53;YEM;15;48;3
;;;;;;
"
IRN";32;53;TUN;34;9;1
;;;;;;
"
IRN";32;53;TJK;39;71;2
;;;;;;
"
IRN";32;53;SUR;4;-56;0
;;;;;;
"
IRN";32;53;MAR;32;-5;0
;;;;;;
"
IRN";32;53;SDN;15;30;0
;;;;;;
"
IRN";32;53;MEA;35.8333;14.5833;0
;;;;;;
"
IRN";32;53;SAS;20;77;0
;;;;;;
"
IRN";32;53;ASM;-14.3333;-170;0
;;;;;;
"
IRN";32;53;ATG;17.05;-61.8;0
;;;;;;
"
IRN";32;53;BDI;-3.5;30;0
;;;;;;
"
IRN";32;53;BEN;9.5;2.25;0
;;;;;;
"
IRN";32;53;BFA;13;-2;0
;;;;;;
"
IRN";32;53;BLZ;17.25;-88.75;0
;;;;;;
"
IRN";32;53;BTN;27.5;90.5;0
;;;;;;
"
IRN";32;53;CAF;7;21;0
;;;;;;
"
IRN";32;53;COM;-12.1667;44.25;0
;;;;;;
"
IRN";32;53;CZE;49.75;15.5;0
;;;;;;
"
IRN";32;53;DJI;11.5;43;0
;;;;;;
"
IRN";32;53;DZA;28;3;1
;;;;;;
"
IRN";32;53;ERI;15;39;0
;;;;;;
"
IRN";32;53;ETH;8;38;0
;;;;;;
"
IRN";32;53;FJI;-18;175;0
;;;;;;
"
IRN";32;53;GMB;13.4667;-16.5667;0
;;;;;;
"
IRN";32;53;GNB;12;-15;0
;;;;;;
"
IRN";32;53;GRD;12.1167;-61.6667;0
;;;;;;
"
IRN";32;53;GUM;13.4667;144.7833;0
;;;;;;
"
IRN";32;53;GUY;5;-59;0
;;;;;;
"
IRN";32;53;HTI;19;-72.4167;0
;;;;;;
"
IRN";32;53;KGZ;41;75;0
;;;;;;
"
IRN";32;53;KIR;1.4167;173;0
;;;;;;
"
IRN";32;53;KNA;17.3333;-62.75;0
;;;;;;
"
IRN";32;53;LAO;18;105;0
;;;;;;
"
IRN";32;53;LCA;13.8833;-61.1333;0
;;;;;;
"
IRN";32;53;LSO;-29.5;28.5;0
;;;;;;
"
IRN";32;53;MCO;43.7333;7.4;0
;;;;;;
"
IRN";32;53;MDA;47;29;0
;;;;;;
"
IRN";32;53;MHL;9;168;0
;;;;;;
"
IRN";32;53;MNP;15.2;145.75;0
;;;;;;
"
IRN";32;53;MWI;-13.5;34;0
;;;;;;
"
IRN";32;53;NRU;-0.5333;166.9167;0
;;;;;;
"
IRN";32;53;PLW;7.5;134.5;0
;;;;;;
"
IRN";32;53;PRI;18.25;-66.5;0
;;;;;;
"
IRN";32;53;SLB;-8;159;0
;;;;;;
"
IRN";32;53;SLE;8.5;-11.5;0
;;;;;;
"
IRN";32;53;SMR;43.7667;12.4167;0
;;;;;;
"
IRN";32;53;SOM;10;49;0
;;;;;;
"
IRN";32;53;STP;1;7;0
;;;;;;
"
IRN";32;53;SYC;-4.5833;55.6667;0
;;;;;;
"
IRN";32;53;SYR;35;38;0
;;;;;;
"
IRN";32;53;TGO;8;1.1667;0
;;;;;;
"
IRN";32;53;TKM;40;60;0
;;;;;;
"
IRN";32;53;TMP;-8.556856;125.56031;0
;;;;;;
"
IRN";32;53;TON;-20;-175;0
;;;;;;
"
IRN";32;53;TUV;-8;178;0
;;;;;;
"
IRN";32;53;VCT;13.25;-61.2;0
;;;;;;
"
IRN";32;53;VUT;-16;167;0
;;;;;;
"
IRN";32;53;WSM;-13.5833;-172.3333;0
;;;;;;
"
IRN";32;53;GZS;32;35.25;0
;;;;;;
"
IRN";32;53;BRN;4.5;114.6667;0
;;;;;;
"
SAU";25;45;CHN;35;105;1
;;;;;;
"
SAU";25;45;IRN;32;53;0
;;;;;;
"
SAU";25;45;SAU;25;45;0
;;;;;;
"
SAU";25;45;JPN;36;138;4
;;;;;;
"
SAU";25;45;RUS;60;100;0
;;;;;;
"
SAU";25;45;MLI;17;-4;0
;;;;;;
"
SAU";25;45;USA;38;-97;5
;;;;;;
"
SAU";25;45;PRK;37;127.5;0
;;;;;;
"
SAU";25;45;AUS;-27;133;4
;;;;;;
"
SAU";25;45;BGD;24;90;0
;;;;;;
"
SAU";25;45;FRA;46;2;2
;;;;;;
"
SAU";25;45;IND;20;77;2
;;;;;;
"
SAU";25;45;MEX;23;-102;0
;;;;;;
"
SAU";25;45;NER;16;8;0
;;;;;;
"
SAU";25;45;NGA;10;8;0
;;;;;;
"
SAU";25;45;NOR;62;10;0
;;;;;;
"
SAU";25;45;PER;-10;-76;0
;;;;;;
"
SAU";25;45;POL;52;20;0
;;;;;;
"
SAU";25;45;URY;-33;-56;0
;;;;;;
"
SAU";25;45;ESP;40;-4;2
;;;;;;
"
SAU";25;45;SGP;1.3667;103.8;0
;;;;;;
"
SAU";25;45;ABW;12.5;-69.9667;0
;;;;;;
"
SAU";25;45;ROM;46;25;0
;;;;;;
"
SAU";25;45;AFG;33;65;0
;;;;;;
"
SAU";25;45;DEU;51;9;2
;;;;;;
"
SAU";25;45;IRQ;33;44;0
;;;;;;
"
SAU";25;45;ISR;31.5;34.75;2
;;;;;;
"
SAU";25;45;UKR;49;32;0
;;;;;;
"
SAU";25;45;THA;15;100;0
;;;;;;
"
SAU";25;45;HKG;22.25;114.1667;1
;;;;;;
"
SAU";25;45;IDN;-5;120;0
;;;;;;
"
SAU";25;45;LKA;7;81;0
;;;;;;
"
SAU";25;45;PAK;30;70;0
;;;;;;
"
SAU";25;45;BRA;-10;-55;0
;;;;;;
"
SAU";25;45;CAN;60;-95;0
;;;;;;
"
SAU";25;45;GEO;42;43.5;0
;;;;;;
"
SAU";25;45;MYS;2.5;112.5;0
;;;;;;
"
SAU";25;45;NZL;-41;174;0
;;;;;;
"
SAU";25;45;TUR;39;35;0
;;;;;;
"
SAU";25;45;KHM;13;105;0
;;;;;;
"
SAU";25;45;CUB;21.5;-80;0
;;;;;;
"
SAU";25;45;BLR;53;28;0
;;;;;;
"
SAU";25;45;KAZ;48;68;0
;;;;;;
"
SAU";25;45;SWE;62;15;0
;;;;;;
"
SAU";25;45;COL;4;-72;0
;;;;;;
"
SAU";25;45;PRT;39.5;-8;0
;;;;;;
"
SAU";25;45;AGO;-12.5;18.5;0
;;;;;;
"
SAU";25;45;ALB;41;20;0
;;;;;;
"
SAU";25;45;AND;42.5;1.5;0
;;;;;;
"
SAU";25;45;ARE;24;54;0
;;;;;;
"
SAU";25;45;ARG;-34;-64;0
;;;;;;
"
SAU";25;45;ARM;40;45;0
;;;;;;
"
SAU";25;45;AUT;47.3333;13.3333;0
;;;;;;
"
SAU";25;45;AZE;40.5;47.5;0
;;;;;;
"
SAU";25;45;BEL;50.8333;4;0
;;;;;;
"
SAU";25;45;BGR;43;25;0
;;;;;;
"
SAU";25;45;BHR;26;50.55;0
;;;;;;
"
SAU";25;45;BHS;24.25;-76;0
;;;;;;
"
SAU";25;45;BIH;44;18;0
;;;;;;
"
SAU";25;45;BMU;32.3333;-64.75;0
;;;;;;
"
SAU";25;45;BRB;13.1667;-59.5333;0
;;;;;;
"
SAU";25;45;BWA;-22;24;0
;;;;;;
"
SAU";25;45;CHE;47;8;0
;;;;;;
"
SAU";25;45;CHL;-30;-71;0
;;;;;;
"
SAU";25;45;CMR;6;12;0
;;;;;;
"
SAU";25;45;COD;-1;15;0
;;;;;;
"
SAU";25;45;CRI;10;-84;0
;;;;;;
"
SAU";25;45;CYM;19.5;-80.5;0
;;;;;;
"
SAU";25;45;CYP;35;33;0
;;;;;;
"
SAU";25;45;DMA;15.4167;-61.3333;0
;;;;;;
"
SAU";25;45;DNK;56;10;0
;;;;;;
"
SAU";25;45;DOM;19;-70.6667;0
;;;;;;
"
SAU";25;45;ECU;-2;-77.5;0
;;;;;;
"
SAU";25;45;EGY;27;30;0
;;;;;;
"
SAU";25;45;EST;59;26;2
;;;;;;
"
SAU";25;45;FIN;64;26;0
;;;;;;
"
SAU";25;45;GAB;-1;11.75;0
;;;;;;
"
SAU";25;45;GBR;54;-2;3
;;;;;;
"
SAU";25;45;GHA;8;-2;0
;;;;;;
"
SAU";25;45;GIB;36.1833;-5.3667;0
;;;;;;
"
SAU";25;45;GIN;11;-10;0
;;;;;;
"
SAU";25;45;GNQ;2;10;0
;;;;;;
"
SAU";25;45;GRC;39;22;0
;;;;;;
